,Age
0,22.0
1,38.0
2,26.0
3,35.0
4,35.0
5,44.5
6,54.0
7,2.0
8,27.0
9,14.0
10,4.0
11,58.0
12,20.0
13,39.0
14,14.0
15,55.0
16,2.0
17,16.5
18,31.0
19,33.0
20,35.0
21,34.0
22,15.0
23,28.0
24,8.0
25,38.0
26,28.5
27,19.0
28,26.0
29,33.0
30,40.0
31,48.666666666666664
32,57.33333333333333
33,66.0
34,28.0
35,42.0
36,31.5
37,21.0
38,18.0
39,14.0
40,40.0
41,27.0
42,15.0
43,3.0
44,19.0
45,18.8
46,18.6
47,18.4
48,18.2
49,18.0
50,7.0
51,21.0
52,49.0
53,29.0
54,65.0
55,43.0
56,21.0
57,28.5
58,5.0
59,11.0
60,22.0
61,38.0
62,45.0
63,4.0
64,12.333333333333334
65,20.666666666666668
66,29.0
67,19.0
68,17.0
69,26.0
70,32.0
71,16.0
72,21.0
73,26.0
74,32.0
75,25.0
76,16.943333333333335
77,8.886666666666667
78,0.83
79,30.0
80,22.0
81,29.0
82,28.5
83,28.0
84,17.0
85,33.0
86,16.0
87,19.5
88,23.0
89,24.0
90,29.0
91,20.0
92,46.0
93,26.0
94,59.0
95,65.0
96,71.0
97,23.0
98,34.0
99,34.0
100,28.0
101,24.5
102,21.0
103,33.0
104,37.0
105,28.0
106,21.0
107,29.5
108,38.0
109,42.5
110,47.0
111,14.5
112,22.0
113,20.0
114,17.0
115,21.0
116,70.5
117,29.0
118,24.0
119,2.0
120,21.0
121,26.75
122,32.5
123,32.5
124,54.0
125,12.0
126,18.0
127,24.0
128,34.5
129,45.0
130,33.0
131,20.0
132,47.0
133,29.0
134,25.0
135,23.0
136,19.0
137,37.0
138,16.0
139,24.0
140,23.0
141,22.0
142,24.0
143,19.0
144,18.0
145,19.0
146,27.0
147,9.0
148,36.5
149,42.0
150,51.0
151,22.0
152,55.5
153,40.5
154,45.75
155,51.0
156,16.0
157,30.0
158,34.666666666666664
159,39.333333333333336
160,44.0
161,40.0
162,26.0
163,17.0
164,1.0
165,9.0
166,27.0
167,45.0
168,36.5
169,28.0
170,61.0
171,4.0
172,1.0
173,21.0
174,56.0
175,18.0
176,34.0
177,50.0
178,30.0
179,36.0
180,27.0
181,18.0
182,9.0
183,1.0
184,4.0
185,17.666666666666664
186,31.333333333333332
187,45.0
188,40.0
189,36.0
190,32.0
191,19.0
192,19.0
193,3.0
194,44.0
195,58.0
196,50.0
197,42.0
198,33.0
199,24.0
200,28.0
201,31.0
202,34.0
203,45.5
204,18.0
205,2.0
206,32.0
207,26.0
208,16.0
209,40.0
210,24.0
211,35.0
212,22.0
213,30.0
214,30.5
215,31.0
216,27.0
217,42.0
218,32.0
219,30.0
220,16.0
221,27.0
222,51.0
223,44.5
224,38.0
225,22.0
226,19.0
227,20.5
228,18.0
229,26.5
230,35.0
231,29.0
232,59.0
233,5.0
234,24.0
235,34.0
236,44.0
237,8.0
238,19.0
239,33.0
240,31.666666666666668
241,30.333333333333332
242,29.0
243,22.0
244,30.0
245,44.0
246,25.0
247,24.0
248,37.0
249,54.0
250,41.5
251,29.0
252,62.0
253,30.0
254,41.0
255,29.0
256,29.5
257,30.0
258,35.0
259,50.0
260,26.5
261,3.0
262,52.0
263,40.0
264,38.0
265,36.0
266,16.0
267,25.0
268,58.0
269,35.0
270,30.0
271,25.0
272,41.0
273,37.0
274,50.0
275,63.0
276,45.0
277,26.0
278,7.0
279,35.0
280,65.0
281,28.0
282,16.0
283,19.0
284,26.0
285,33.0
286,30.0
287,22.0
288,42.0
289,22.0
290,26.0
291,19.0
292,36.0
293,24.0
294,24.0
295,23.75
296,23.5
297,2.0
298,26.0
299,50.0
300,39.666666666666664
301,29.333333333333332
302,19.0
303,12.973333333333333
304,6.946666666666667
305,0.92
306,8.959999999999999
307,17.0
308,30.0
309,30.0
310,24.0
311,18.0
312,26.0
313,28.0
314,43.0
315,26.0
316,24.0
317,54.0
318,31.0
319,40.0
320,22.0
321,27.0
322,30.0
323,22.0
324,29.0
325,36.0
326,61.0
327,36.0
328,31.0
329,16.0
330,30.75
331,45.5
332,38.0
333,16.0
334,20.333333333333332
335,24.666666666666664
336,29.0
337,41.0
338,45.0
339,45.0
340,2.0
341,24.0
342,28.0
343,25.0
344,36.0
345,24.0
346,40.0
347,21.5
348,3.0
349,42.0
350,23.0
351,19.0
352,15.0
353,25.0
354,26.5
355,28.0
356,22.0
357,38.0
358,38.666666666666664
359,39.333333333333336
360,40.0
361,29.0
362,45.0
363,35.0
364,32.5
365,30.0
366,60.0
367,48.0
368,36.0
369,24.0
370,25.0
371,18.0
372,19.0
373,22.0
374,3.0
375,12.5
376,22.0
377,27.0
378,20.0
379,19.0
380,42.0
381,1.0
382,32.0
383,35.0
384,26.5
385,18.0
386,1.0
387,36.0
388,26.5
389,17.0
390,36.0
391,21.0
392,28.0
393,23.0
394,24.0
395,22.0
396,31.0
397,46.0
398,23.0
399,28.0
400,39.0
401,26.0
402,21.0
403,28.0
404,20.0
405,34.0
406,51.0
407,3.0
408,21.0
409,24.0
410,27.0
411,30.0
412,33.0
413,38.5
414,44.0
415,39.0
416,34.0
417,18.0
418,30.0
419,10.0
420,15.5
421,21.0
422,29.0
423,28.0
424,18.0
425,23.0
426,28.0
427,19.0
428,25.5
429,32.0
430,28.0
431,35.0
432,42.0
433,17.0
434,50.0
435,14.0
436,21.0
437,24.0
438,64.0
439,31.0
440,45.0
441,20.0
442,25.0
443,28.0
444,16.0
445,4.0
446,13.0
447,34.0
448,5.0
449,52.0
450,36.0
451,33.0
452,30.0
453,49.0
454,39.0
455,29.0
456,65.0
457,57.5
458,50.0
459,49.0
460,48.0
461,34.0
462,47.0
463,48.0
464,43.0
465,38.0
466,47.0
467,56.0
468,28.375
469,0.75
470,19.375
471,38.0
472,33.0
473,23.0
474,22.0
475,28.0
476,34.0
477,29.0
478,22.0
479,2.0
480,9.0
481,29.5
482,50.0
483,63.0
484,25.0
485,30.0
486,35.0
487,58.0
488,30.0
489,9.0
490,15.0
491,21.0
492,55.0
493,71.0
494,21.0
495,37.5
496,54.0
497,39.5
498,25.0
499,24.0
500,17.0
501,21.0
502,29.0
503,37.0
504,16.0
505,18.0
506,33.0
507,30.5
508,28.0
509,26.0
510,29.0
511,32.5
512,36.0
513,54.0
514,24.0
515,47.0
516,34.0
517,35.0
518,36.0
519,32.0
520,30.0
521,22.0
522,33.0
523,44.0
524,42.25
525,40.5
526,50.0
527,44.5
528,39.0
529,23.0
530,2.0
531,9.5
532,17.0
533,23.5
534,30.0
535,7.0
536,45.0
537,30.0
538,26.0
539,22.0
540,36.0
541,9.0
542,11.0
543,32.0
544,50.0
545,64.0
546,19.0
547,26.0
548,33.0
549,8.0
550,17.0
551,27.0
552,24.5
553,22.0
554,22.0
555,62.0
556,48.0
557,43.5
558,39.0
559,36.0
560,38.0
561,40.0
562,28.0
563,26.666666666666668
564,25.333333333333332
565,24.0
566,19.0
567,29.0
568,30.5
569,32.0
570,62.0
571,53.0
572,36.0
573,26.0
574,16.0
575,19.0
576,34.0
577,39.0
578,35.5
579,32.0
580,25.0
581,39.0
582,54.0
583,36.0
584,27.0
585,18.0
586,47.0
587,60.0
588,22.0
589,28.5
590,35.0
591,52.0
592,47.0
593,42.0
594,37.0
595,36.0
596,42.5
597,49.0
598,49.0
599,49.0
600,24.0
601,30.666666666666668
602,37.333333333333336
603,44.0
604,35.0
605,36.0
606,30.0
607,27.0
608,22.0
609,40.0
610,39.0
611,38.0
612,37.0
613,36.0
614,35.0
615,24.0
616,34.0
617,26.0
618,4.0
619,26.0
620,27.0
621,42.0
622,20.0
623,21.0
624,21.0
625,61.0
626,57.0
627,21.0
628,26.0
629,53.0
630,80.0
631,51.0
632,32.0
633,20.5
634,9.0
635,28.0
636,32.0
637,31.0
638,41.0
639,30.5
640,20.0
641,24.0
642,2.0
643,1.375
644,0.75
645,48.0
646,19.0
647,56.0
648,39.5
649,23.0
650,20.5
651,18.0
652,21.0
653,19.5
654,18.0
655,24.0
656,28.0
657,32.0
658,23.0
659,58.0
660,50.0
661,40.0
662,47.0
663,36.0
664,20.0
665,32.0
666,25.0
667,34.0
668,43.0
669,41.5
670,40.0
671,31.0
672,70.0
673,31.0
674,24.5
675,18.0
676,24.5
677,18.0
678,43.0
679,36.0
680,31.5
681,27.0
682,20.0
683,14.0
684,60.0
685,25.0
686,14.0
687,19.0
688,18.0
689,15.0
690,31.0
691,4.0
692,14.5
693,25.0
694,60.0
695,52.0
696,44.0
697,46.5
698,49.0
699,42.0
700,18.0
701,35.0
702,18.0
703,25.0
704,26.0
705,39.0
706,45.0
707,42.0
708,22.0
709,23.0
710,24.0
711,36.0
712,48.0
713,29.0
714,52.0
715,19.0
716,38.0
717,27.0
718,30.0
719,33.0
720,6.0
721,17.0
722,34.0
723,50.0
724,27.0
725,20.0
726,30.0
727,27.5
728,25.0
729,25.0
730,29.0
731,11.0
732,17.0
733,23.0
734,23.0
735,28.5
736,48.0
737,35.0
738,35.25
739,35.5
740,35.75
741,36.0
742,21.0
743,24.0
744,31.0
745,70.0
746,16.0
747,30.0
748,19.0
749,31.0
750,4.0
751,6.0
752,33.0
753,23.0
754,48.0
755,0.67
756,28.0
757,18.0
758,34.0
759,33.0
760,37.0
761,41.0
762,20.0
763,36.0
764,16.0
765,51.0
766,40.75
767,30.5
768,31.25
769,32.0
770,24.0
771,48.0
772,57.0
773,55.5
774,54.0
775,18.0
776,11.5
777,5.0
778,24.0
779,43.0
780,13.0
781,17.0
782,29.0
783,27.0
784,25.0
785,25.0
786,18.0
787,8.0
788,1.0
789,46.0
790,31.0
791,16.0
792,19.0
793,22.0
794,25.0
795,39.0
796,49.0
797,31.0
798,30.0
799,30.0
800,34.0
801,31.0
802,11.0
803,0.42
804,27.0
805,31.0
806,39.0
807,18.0
808,39.0
809,33.0
810,26.0
811,39.0
812,35.0
813,6.0
814,30.5
815,26.75
816,23.0
817,31.0
818,43.0
819,10.0
820,52.0
821,27.0
822,38.0
823,27.0
824,2.0
825,1.6666666666666667
826,1.3333333333333335
827,1.0
828,31.5
829,62.0
830,15.0
831,0.83
832,11.915000000000001
833,23.0
834,18.0
835,39.0
836,21.0
837,26.5
838,32.0
839,26.0
840,20.0
841,16.0
842,30.0
843,34.5
844,17.0
845,42.0
846,38.5
847,35.0
848,28.0
849,16.0
850,4.0
851,74.0
852,9.0
853,16.0
854,44.0
855,18.0
856,45.0
857,51.0
858,24.0
859,32.5
860,41.0
861,21.0
862,48.0
863,36.0
864,24.0
865,42.0
866,27.0
867,31.0
868,17.5
869,4.0
870,26.0
871,47.0
872,33.0
873,47.0
874,28.0
875,15.0
876,20.0
877,19.0
878,37.5
879,56.0
880,25.0
881,33.0
882,22.0
883,28.0
884,25.0
885,39.0
886,27.0
887,19.0
888,22.5
889,26.0
890,32.0
